topic,alpha,word,weight
14,0.3333333333333333,文,469
14,0.3333333333333333,白,348
14,0.3333333333333333,氛,324
14,0.3333333333333333,山,299
14,0.3333333333333333,日,246
14,0.3333333333333333,將,208
14,0.3333333333333333,氳,197
14,0.3333333333333333,高,192
14,0.3333333333333333,下,185
14,0.3333333333333333,使,183
14,0.3333333333333333,出,181
14,0.3333333333333333,孤,170
14,0.3333333333333333,共,167
15,0.3333333333333333,衣,1200
15,0.3333333333333333,手,1070
15,0.3333333333333333,白,615
15,0.3333333333333333,長,549
15,0.3333333333333333,行,546
15,0.3333333333333333,攜,534
15,0.3333333333333333,上,512
15,0.3333333333333333,裳,487
15,0.3333333333333333,人,483
15,0.3333333333333333,子,430
15,0.3333333333333333,一,373
15,0.3333333333333333,著,361
15,0.3333333333333333,欲,337
15,0.3333333333333333,當,311
15,0.3333333333333333,相,294
15,0.3333333333333333,日,293
15,0.3333333333333333,黃,288
15,0.3333333333333333,時,267
15,0.3333333333333333,舉,243
15,0.3333333333333333,持,240
16,0.3333333333333333,秋,1526
16,0.3333333333333333,涼,1266
16,0.3333333333333333,風,1173
16,0.3333333333333333,蕭,747
16,0.3333333333333333,蟬,706
16,0.3333333333333333,雨,701
16,0.3333333333333333,清,652
16,0.3333333333333333,晚,482
16,0.3333333333333333,高,386
16,0.3333333333333333,樹,374
16,0.3333333333333333,夏,349
16,0.3333333333333333,思,341
16,0.3333333333333333,颯,336
16,0.3333333333333333,暑,334
16,0.3333333333333333,鳴,315
16,0.3333333333333333,露,280
16,0.3333333333333333,葉,273
16,0.3333333333333333,淒,267
16,0.3333333333333333,聲,258
16,0.3333333333333333,槐,218
17,0.3333333333333333,竹,880
17,0.3333333333333333,閒,865
17,0.3333333333333333,林,693
17,0.3333333333333333,深,662
17,0.3333333333333333,門,642
17,0.3333333333333333,靜,607
17,0.3333333333333333,坐,568
17,0.3333333333333333,對,469
17,0.3333333333333333,幽,409
17,0.3333333333333333,杖,401
17,0.3333333333333333,入,363
17,0.3333333333333333,窗,362
